Model,Target Value,Accuracy
LR,Sex,88
LR,FSIQ,65
LR,Neuroticism,68
LR,Extraversion,65
LR,Openness,65
LR,Agreeableness,70
LR,Concietiousness,65
RF,Sex,69
RF,FSIQ,50
RF,Neuroticism,54
RF,Extraversion,60
RF,Openness,51
RF,Agreeableness,48
RF,Concietiousness,59
SVM,Sex,82
SVM,FSIQ,68
SVM,Neuroticism,67
SVM,Extraversion,64
SVM,Openness,65
SVM,Agreeableness,59
SVM,Concietiousness,64
KNN,Sex,80
KNN,FSIQ,64
KNN,Neuroticism,54
KNN,Extraversion,52
KNN,Openness,54
KNN,Agreeableness,65
KNN,Concietiousness,61
