Model,Target Value,Accuracy
LR,Sex,71
LR,FSIQ,62
LR,Neuroticism,56
LR,Extraversion,52
LR,Openness,52
LR,Agreeableness,53
LR,Concietiousness,49
RF,Sex,80
RF,FSIQ,45
RF,Neuroticism,55
RF,Extraversion,46
RF,Openness,46
RF,Agreeableness,48
RF,Concietiousness,43
SVM,Sex,73
SVM,FSIQ,60
SVM,Neuroticism,55
SVM,Extraversion,55
SVM,Openness,55
SVM,Agreeableness,73
SVM,Concietiousness,36
KNN,Sex,83
KNN,FSIQ,52
KNN,Neuroticism,59
KNN,Extraversion,56
KNN,Openness,51
KNN,Agreeableness,58
KNN,Concietiousness,52
